condition,metric,family,raw_mean,raw_std,cal_mean,cal_std,p_max,n_sig,n_seeds
isometric (plane vs cylinder),"CKA (RBF, s=0.25)",ambient,0.9904020947197557,5.679882220403386e-05,0.9902204715601374,5.9097718058608105e-05,0.004975124378109453,3,3
isometric (plane vs cylinder),"CKA (RBF, s=1)",ambient,0.8820149348333964,0.0007570066362759992,0.8815234975638647,0.0007423314714424614,0.004975124378109453,3,3
isometric (plane vs cylinder),"CKA (RBF, s=4)",ambient,0.7869138370079574,0.002783674040666011,0.7862127614074573,0.002818232181211813,0.004975124378109453,3,3
isometric (plane vs cylinder),CKA (linear),ambient,0.7782173646132343,0.002996809665474982,0.7775007217351225,0.0030328681583873837,0.004975124378109453,3,3
isometric (plane vs cylinder),GW matching (geodesic),intrinsic,1.0,0.0,1.0,0.0,0.004975124378109453,3,3
isometric (plane vs cylinder),Procrustes,ambient,0.8381440922327269,0.0020936605174003715,0.8295282030986769,0.0022726051033985996,0.004975124378109453,3,3
isometric (plane vs cylinder),RSA (Euclidean),ambient,0.8827580174182984,0.00041686330233194524,0.8817360641289186,0.00037953018733504325,0.004975124378109453,3,3
isometric (plane vs cylinder),"RSA (geodesic, k=10)",intrinsic,0.9999965022405332,2.706218907520948e-06,0.9999964701725638,2.731720540729343e-06,0.004975124378109453,3,3
isometric (plane vs cylinder),mkNN (k=10),local,0.9992444316546122,0.00016629869886663172,0.999238248000944,0.00016766401422691371,0.004975124378109453,3,3
isometric (plane vs swiss roll),"CKA (RBF, s=0.25)",ambient,0.9064435251829325,0.0005781938619572139,0.9043776484502883,0.000582428753371938,0.004975124378109453,3,3
isometric (plane vs swiss roll),"CKA (RBF, s=1)",ambient,0.6736883847846659,0.0012724222446205975,0.6723906482229176,0.0012688230668926807,0.004975124378109453,3,3
isometric (plane vs swiss roll),"CKA (RBF, s=4)",ambient,0.6396246077405755,0.002746562545349421,0.6385907866809953,0.0027748317352722304,0.004975124378109453,3,3
isometric (plane vs swiss roll),CKA (linear),ambient,0.6364019271058187,0.003052949789270283,0.6353813011197382,0.0030691201368094247,0.004975124378109453,3,3
isometric (plane vs swiss roll),GW matching (geodesic),intrinsic,1.0,0.0,1.0,0.0,0.004975124378109453,3,3
isometric (plane vs swiss roll),Procrustes,ambient,0.7206905315870626,0.0010380314185209779,0.7062445081412214,0.0010078784751795789,0.004975124378109453,3,3
isometric (plane vs swiss roll),RSA (Euclidean),ambient,0.661850234856237,0.0010356588642654496,0.6588047481892423,0.0011313147753587473,0.004975124378109453,3,3
isometric (plane vs swiss roll),"RSA (geodesic, k=10)",intrinsic,0.9999824846354749,1.6156876935854598e-06,0.9999823274751553,1.6292251197254858e-06,0.004975124378109453,3,3
isometric (plane vs swiss roll),mkNN (k=10),local,0.9953555663426717,0.00043998500055472645,0.9953176428532172,0.00044295005618437823,0.004975124378109453,3,3
negative (independent manifolds),"CKA (RBF, s=0.25)",ambient,0.02316464559170388,0.0010632696083843396,0.0,0.0,0.8656716417910447,0,3
negative (independent manifolds),"CKA (RBF, s=1)",ambient,0.002678306106045835,0.0006933248013709923,0.0,0.0,0.6417910447761194,0,3
negative (independent manifolds),"CKA (RBF, s=4)",ambient,0.001176405519140406,0.000394069189455479,0.0,0.0,0.7164179104477612,0,3
negative (independent manifolds),CKA (linear),ambient,0.0010789608943247203,0.0003754077304431338,0.0,0.0,0.736318407960199,0,3
negative (independent manifolds),GW matching (geodesic),intrinsic,0.0008888888888888888,0.00031426968052735446,0.0,0.0,0.6218905472636815,0,3
negative (independent manifolds),Procrustes,ambient,0.031539710554863244,0.00680699798617108,0.0,0.0,0.7562189054726368,0,3
negative (independent manifolds),RSA (Euclidean),ambient,-0.003493744020055809,0.001983993498245521,0.0,0.0,0.8855721393034826,0,3
negative (independent manifolds),"RSA (geodesic, k=10)",intrinsic,-0.003164246399031677,0.0018612716584506897,0.0,0.0,0.8557213930348259,0,3
negative (independent manifolds),mkNN (k=10),local,0.007422222134967645,0.0008731948968073431,0.00013442675486165,0.00019010813987114885,0.6766169154228856,1,3
"positive (same embedding, rotated)","CKA (RBF, s=0.25)",ambient,0.9999999999999994,7.336437976234922e-16,0.9999999999999994,7.336437976234922e-16,0.004975124378109453,3,3
"positive (same embedding, rotated)","CKA (RBF, s=1)",ambient,0.9999999999999994,3.510833468576701e-16,0.9999999999999994,3.510833468576701e-16,0.004975124378109453,3,3
"positive (same embedding, rotated)","CKA (RBF, s=4)",ambient,0.9999999999999994,6.813791249568404e-16,0.9999999999999994,6.813791249568404e-16,0.004975124378109453,3,3
"positive (same embedding, rotated)",CKA (linear),ambient,0.9999999999999999,2.3111135221866393e-16,0.9999999999999999,2.3111135221866393e-16,0.004975124378109453,3,3
"positive (same embedding, rotated)",GW matching (geodesic),intrinsic,1.0,0.0,1.0,0.0,0.004975124378109453,3,3
"positive (same embedding, rotated)",Procrustes,ambient,0.999999999999817,5.661048867003676e-16,0.9999999999998067,8.15843973306311e-16,0.004975124378109453,3,3
"positive (same embedding, rotated)",RSA (Euclidean),ambient,1.0,0.0,1.0,0.0,0.004975124378109453,3,3
"positive (same embedding, rotated)","RSA (geodesic, k=10)",intrinsic,1.0,1.2819751242557092e-16,1.0,1.2819751242557092e-16,0.004975124378109453,3,3
"positive (same embedding, rotated)",mkNN (k=10),local,1.0,0.0,1.0,0.0,0.004975124378109453,3,3
